_id,YEAR,GEOGRAPHY,IMMIGRANT,TYPE OF WORK,WAGE RATE,EDUCATION,AGE GROUP,Both sexes,Men,Women
65,2006,Canada,Total, Full-time,  Median hourly wage, High school graduate,25 - 64,17.4,19.2,15.4
66,2006,Canada,Total, Full-time,  Median hourly wage, Some post-secondary,15 +,16,17.3,14.5
67,2006,Canada,Total, Full-time,  Median hourly wage, Some post-secondary,25 +,18.3,20,16.6
68,2006,Canada,Total, Full-time,  Median hourly wage, Some post-secondary,25 - 34,16,17,14.6
69,2006,Canada,Total, Full-time,  Median hourly wage, Some post-secondary,25 - 54,18,19.8,16.5
70,2006,Canada,Total, Full-time,  Median hourly wage, Some post-secondary,25 - 64,18.3,20,16.7
71,2006,Canada,Total, Full-time,  Median hourly wage, Post-secondary certificate or diploma,15 +,19.2,21.5,17.4
72,2006,Canada,Total, Full-time,  Median hourly wage, Post-secondary certificate or diploma,25 +,20,22.1,18
73,2006,Canada,Total, Full-time,  Median hourly wage, Post-secondary certificate or diploma,25 - 34,18,19.7,16.3
74,2006,Canada,Total, Full-time,  Median hourly wage, Post-secondary certificate or diploma,25 - 54,20,22,18
75,2006,Canada,Total, Full-time,  Median hourly wage, Post-secondary certificate or diploma,25 - 64,20,22.1,18
76,2006,Canada,Total, Full-time,  Median hourly wage, University degree,15 +,26.9,28.9,25
77,2006,Canada,Total, Full-time,  Median hourly wage, University degree,25 +,27.7,29.8,25.6
78,2006,Canada,Total, Full-time,  Median hourly wage, University degree,25 - 34,23.1,24.1,22.5
79,2006,Canada,Total, Full-time,  Median hourly wage, University degree,25 - 54,27,28.9,25.3
80,2006,Canada,Total, Full-time,  Median hourly wage, University degree,25 - 64,27.7,29.8,25.6
81,2006,Canada,Total, Full-time,  Median hourly wage,  Bachelor's degree,15 +,25,27.5,23.8
82,2006,Canada,Total, Full-time,  Median hourly wage,  Bachelor's degree,25 +,26,28.2,24.5
83,2006,Canada,Total, Full-time,  Median hourly wage,  Bachelor's degree,25 - 34,22.6,24,22
84,2006,Canada,Total, Full-time,  Median hourly wage,  Bachelor's degree,25 - 54,25.6,27.9,24
85,2006,Canada,Total, Full-time,  Median hourly wage,  Bachelor's degree,25 - 64,26,28.2,24.5
86,2006,Canada,Total, Full-time,  Median hourly wage,  Above bachelor's degree,15 +,31,33,28.9
87,2006,Canada,Total, Full-time,  Median hourly wage,  Above bachelor's degree,25 +,31.3,33.3,29.5
88,2006,Canada,Total, Full-time,  Median hourly wage,  Above bachelor's degree,25 - 34,25.5,26.1,24.9
89,2006,Canada,Total, Full-time,  Median hourly wage,  Above bachelor's degree,25 - 54,30.7,32,28.9
90,2006,Canada,Total, Full-time,  Median hourly wage,  Above bachelor's degree,25 - 64,31.3,33.3,29.4
91,2006,Canada,Total, Part-time,  Median hourly wage,"Total, all education levels",15 +,10,9.9,11
92,2006,Canada,Total, Part-time,  Median hourly wage,"Total, all education levels",25 +,14.6,14.2,14.6
93,2006,Canada,Total, Part-time,  Median hourly wage,"Total, all education levels",25 - 34,14,13.1,14
94,2006,Canada,Total, Part-time,  Median hourly wage,"Total, all education levels",25 - 54,15,14.4,15
95,2006,Canada,Total, Part-time,  Median hourly wage,"Total, all education levels",25 - 64,14.8,14.9,14.8
96,2006,Canada,Total, Part-time,  Median hourly wage, 0 - 8 years,15 +,9,9,9.1
97,2006,Canada,Total, Part-time,  Median hourly wage, 0 - 8 years,25 +,10,11,10
98,2006,Canada,Total, Part-time,  Median hourly wage, 0 - 8 years,25 - 34,10,9.6,10
99,2006,Canada,Total, Part-time,  Median hourly wage, 0 - 8 years,25 - 54,10,10,10
100,2006,Canada,Total, Part-time,  Median hourly wage, 0 - 8 years,25 - 64,10,10.5,10
101,2006,Canada,Total, Part-time,  Median hourly wage, Some high school,15 +,8,8,8
102,2006,Canada,Total, Part-time,  Median hourly wage, Some high school,25 +,10.6,12,10.3
103,2006,Canada,Total, Part-time,  Median hourly wage, Some high school,25 - 34,10,10,10
104,2006,Canada,Total, Part-time,  Median hourly wage, Some high school,25 - 54,10.2,11.8,10
105,2006,Canada,Total, Part-time,  Median hourly wage, Some high school,25 - 64,10.5,12,10
106,2006,Canada,Total, Part-time,  Median hourly wage, High school graduate,15 +,10,9.6,10
107,2006,Canada,Total, Part-time,  Median hourly wage, High school graduate,25 +,12,12.5,12
108,2006,Canada,Total, Part-time,  Median hourly wage, High school graduate,25 - 34,10.5,11,10.5
109,2006,Canada,Total, Part-time,  Median hourly wage, High school graduate,25 - 54,12,12,12
110,2006,Canada,Total, Part-time,  Median hourly wage, High school graduate,25 - 64,12,12.6,12
111,2006,Canada,Total, Part-time,  Median hourly wage, Some post-secondary,15 +,9.5,9.1,9.5
112,2006,Canada,Total, Part-time,  Median hourly wage, Some post-secondary,25 +,12.5,11,13
113,2006,Canada,Total, Part-time,  Median hourly wage, Some post-secondary,25 - 34,12,10.3,12.4
114,2006,Canada,Total, Part-time,  Median hourly wage, Some post-secondary,25 - 54,12.5,11.5,13
115,2006,Canada,Total, Part-time,  Median hourly wage, Some post-secondary,25 - 64,12.9,11,13.2
116,2006,Canada,Total, Part-time,  Median hourly wage, Post-secondary certificate or diploma,15 +,14,12,14.3
117,2006,Canada,Total, Part-time,  Median hourly wage, Post-secondary certificate or diploma,25 +,15,14.1,15
118,2006,Canada,Total, Part-time,  Median hourly wage, Post-secondary certificate or diploma,25 - 34,14,13,14.2
119,2006,Canada,Total, Part-time,  Median hourly wage, Post-secondary certificate or diploma,25 - 54,15,14.9,15.1
120,2006,Canada,Total, Part-time,  Median hourly wage, Post-secondary certificate or diploma,25 - 64,15,14.9,15
121,2006,Canada,Total, Part-time,  Median hourly wage, University degree,15 +,20,19,20.3
122,2006,Canada,Total, Part-time,  Median hourly wage, University degree,25 +,21.9,20,22.1
123,2006,Canada,Total, Part-time,  Median hourly wage, University degree,25 - 34,18.3,18,19
124,2006,Canada,Total, Part-time,  Median hourly wage, University degree,25 - 54,21,19.2,22
125,2006,Canada,Total, Part-time,  Median hourly wage, University degree,25 - 64,21.9,20,22.2
126,2006,Canada,Total, Part-time,  Median hourly wage,  Bachelor's degree,15 +,18.3,17,19.1
127,2006,Canada,Total, Part-time,  Median hourly wage,  Bachelor's degree,25 +,20,18.4,21
128,2006,Canada,Total, Part-time,  Median hourly wage,  Bachelor's degree,25 - 34,17.5,17,17.8
129,2006,Canada,Total, Part-time,  Median hourly wage,  Bachelor's degree,25 - 54,20,18,20.1
130,2006,Canada,Total, Part-time,  Median hourly wage,  Bachelor's degree,25 - 64,20,18.5,21
